"iso 3","country id","country","trade value export","trade value import","trade value delta","year"
"kaz","askaz","Kazakhstan",1647250,272299,1374951,2004
"kor","askor","South Korea",7632477,42779766,-35147289,2004
"lbn","aslbn","Lebanon",221,44223,-44002,2004
"mys","asmys","Malaysia",124222,5526855,-5402633,2004
"phl","asphl","Philippines",36051,2739403,-2703352,2004
"sau","assau","Saudi Arabia",82029,74673,7356,2004
"sgp","assgp","Singapore",1532783,3346960,-1814177,2004
"tha","astha","Thailand",334317,5720208,-5385891,2004
"tur","astur","Turkey",4981,1112580,-1107599,2004
"twn","astwn","Chinese Taipei",1742750,22087208,-20344458,2004
"aut","euaut","Austria",22514861,5538298,16976563,2004
"bel","eubel","Belgium",2912734,4119879,-1207145,2004
"bih","eubih","Bosnia and Herzegovina",249816,2631,247185,2004
"blr","eublr","Belarus",2000,310918,-308918,2004
"che","euche","Switzerland",644585,1532587,-888002,2004
"cze","eucze","Czechia",98640,2189590,-2090950,2004
"deu","eudeu","Germany",8882224,30132142,-21249918,2004
"dnk","eudnk","Denmark",62997,147619,-84622,2004
"esp","euesp","Spain",198616,5267536,-5068920,2004
"est","euest","Estonia",2338536,1964539,373997,2004
"fin","eufin","Finland",58969,431210,-372241,2004
"fra","eufra","France",72371771,31230699,41141072,2004
"gbr","eugbr","United Kingdom",15407384,29981789,-14574405,2004
"hun","euhun","Hungary",3962,3371361,-3367399,2004
"irl","euirl","Ireland",1445900,2980833,-1534933,2004
"ita","euita","Italy",3397398,9375262,-5977864,2004
"ltu","eultu","Lithuania",4549,374339,-369790,2004
"lva","eulva","Latvia",753,3921,-3168,2004
"nld","eunld","Netherlands",4947772,14987783,-10040011,2004
"nor","eunor","Norway",13804193,162394,13641799,2004
"pol","eupol","Poland",2647,1432894,-1430247,2004
"rus","eurus","Russia",16828532,1853061,14975471,2004
"svk","eusvk","Slovakia",689,159879,-159190,2004
"svn","eusvn","Slovenia",4877,121302,-116425,2004
"swe","euswe","Sweden",76698,1430477,-1353779,2004
"ukr","euukr","Ukraine",87088,88578,-1490,2004
"can","nacan","Canada",360896,11532125,-11171229,2004
"cri","nacri","Costa Rica",64,12096,-12032,2004
"gtm","nagtm","Guatemala",397,3876,-3479,2004
"jam","najam","Jamaica",27001,673333,-646332,2004
"mex","namex","Mexico",69654,3919611,-3849957,2004
"usa","nausa","United States",36057361,85714379,-49657018,2004
"aus","ocaus","Australia",104296,249289,-144993,2004
"nzl","ocnzl","New Zealand",990,26330,-25340,2004
"arg","saarg","Argentina",348012,443718,-95706,2004
"bra","sabra","Brazil",3608,3118629,-3115021,2004
"chl","sachl","Chile",475,191824,-191349,2004
"cmr","afcmr","Cameroon",3785,105,3680,2005
"egy","afegy","Egypt",42916,1770652,-1727736,2005
"gin","afgin","Guinea",1427,11141,-9714,2005
"mar","afmar","Morocco",268,217301,-217033,2005
"mus","afmus","Mauritius",421,11875,-11454,2005
"nam","afnam","Namibia",1709,3723,-2014,2005
"nga","afnga","Nigeria",9,1784,-1775,2005
"zaf","afzaf","South Africa",515383,4547656,-4032273,2005
"zwe","afzwe","Zimbabwe",32630,32030,600.000000000004,2005
"are","asare","United Arab Emirates",103206,319481,-216275,2005
"chn","aschn","China",219067555,32038926,187028629,2005
"hkg","ashkg","Hong Kong",1001858,6806255,-5804397,2005
"idn","asidn","Indonesia",56492,1002649,-946157,2005
"ind","asind","India",652545,5029654,-4377109,2005
"isr","asisr","Israel",15462,566103,-550641,2005
"jpn","asjpn","Japan",134237785,127972351,6265434,2005
"kaz","askaz","Kazakhstan",1217588,193594,1023994,2005
"kor","askor","South Korea",2441469,42685382,-40243913,2005
"lbn","aslbn","Lebanon",27847,43615,-15768,2005
"mys","asmys","Malaysia",1022641,3056478,-2033837,2005
"phl","asphl","Philippines",252600,3426516,-3173916,2005
"sau","assau","Saudi Arabia",255831,188149,67682,2005
"sgp","assgp","Singapore",829929,3285496,-2455567,2005
"tha","astha","Thailand",217189,46093974,-45876785,2005
"tur","astur","Turkey",1960,815309,-813349,2005
"twn","astwn","Chinese Taipei",1254267,22494403,-21240136,2005
"aut","euaut","Austria",24089716,5053731,19035985,2005
"bel","eubel","Belgium",2948912,2723008,225904,2005
"bih","eubih","Bosnia and Herzegovina",21925,1801,20124,2005
"che","euche","Switzerland",871353,1576684,-705331,2005
"cze","eucze","Czechia",146706,2860870,-2714164,2005
"deu","eudeu","Germany",10288463,32876239,-22587776,2005
"dnk","eudnk","Denmark",452924,122274,330650,2005
"esp","euesp","Spain",457706,6251859,-5794153,2005
"est","euest","Estonia",3870890,3069759,801131,2005
"fin","eufin","Finland",14158,600225,-586067,2005
"fra","eufra","France",62714765,25408044,37306721,2005
"gbr","eugbr","United Kingdom",18653797,18773573,-119776,2005
"hun","euhun","Hungary",7000,2555202,-2548202,2005
"irl","euirl","Ireland",445991,896260,-450269,2005
"ita","euita","Italy",5921461,12141291,-6219830,2005
"ltu","eultu","Lithuania",6723,108919,-102196,2005
"nld","eunld","Netherlands",7427705,22192385,-14764680,2005
"nor","eunor","Norway",9834379,103537,9730842,2005
"pol","eupol","Poland",2612,1441645,-1439033,2005
"prt","euprt","Portugal",393,347736,-347343,2005
"rus","eurus","Russia",8791137,2394955,6396182,2005
"svk","eusvk","Slovakia",9603,175843,-166240,2005
"svn","eusvn","Slovenia",46641,149049,-102408,2005
"swe","euswe","Sweden",181014,878651,-697637,2005
"ukr","euukr","Ukraine",312294,91774,220520,2005
"brb","nabrb","Barbados",25157,380,24777,2005
"can","nacan","Canada",270590,4674563,-4403973,2005
"cri","nacri","Costa Rica",10110,10291,-181,2005
"gtm","nagtm","Guatemala",125,4467,-4342,2005
"mex","namex","Mexico",28976,3608130,-3579154,2005
"tto","natto","Trinidad and Tobago",212,704,-492,2005
"usa","nausa","United States",29002368,88068320,-59065952,2005
"aus","ocaus","Australia",34782,272187,-237405,2005
"nzl","ocnzl","New Zealand",23069,22852,216.999999999996,2005
"arg","saarg","Argentina",427254,1202209,-774955,2005
"bra","sabra","Brazil",7194,3834331,-3827137,2005
"chl","sachl","Chile",8816,568139,-559323,2005
"col","sacol","Colombia",705,177274,-176569,2005
"sur","sasur","Suriname",375,50,325,2005
"egy","afegy","Egypt",18282,1508489,-1490207,2006
"ken","afken","Kenya",57,6098,-6041,2006
"uga","afuga","Uganda",612,27,585,2006
"zaf","afzaf","South Africa",379428,4064360,-3684932,2006
"are","asare","United Arab Emirates",8231,519791,-511560,2006
"arm","asarm","Armenia",24003,136,23867,2006
"brn","asbrn","Brunei",8,8980,-8972,2006
"chn","aschn","China",326656275,82399794,244256481,2006
"hkg","ashkg","Hong Kong",1552206,6223052,-4670846,2006
"idn","asidn","Indonesia",258,822922,-822664,2006
"ind","asind","India",1612938,5052417,-3439479,2006
"isr","asisr","Israel",51224,1818564,-1767340,2006
"jpn","asjpn","Japan",187542082,209480966,-21938884,2006
"kaz","askaz","Kazakhstan",6032156,366544,5665612,2006
"kor","askor","South Korea",1874890,47621410,-45746520,2006
"kwt","askwt","Kuwait",90,99063,-98973,2006
"lbn","aslbn","Lebanon",15219,34558,-19339,2006
"mys","asmys","Malaysia",112048,3526312,-3414264,2006
"pak","aspak","Pakistan",656,23526,-22870,2006
"phl","asphl","Philippines",267491,2943030,-2675539,2006
"sau","assau","Saudi Arabia",13461,661174,-647713,2006
"sgp","assgp","Singapore",1506946,1955930,-448984,2006
"tha","astha","Thailand",38178,48918096,-48879918,2006
"tur","astur","Turkey",42929,6098149,-6055220,2006
"twn","astwn","Chinese Taipei",2521928,25866987,-23345059,2006
"vnm","asvnm","Vietnam",6516,1193498,-1186982,2006
"aut","euaut","Austria",20006073,5643421,14362652,2006
"bel","eubel","Belgium",2930465,5075906,-2145441,2006
"bgr","eubgr","Bulgaria",103,8459,-8356,2006
"blr","eublr","Belarus",14200,322986,-308786,2006
"che","euche","Switzerland",943677,1936051,-992374,2006
"cze","eucze","Czechia",213572,3856008,-3642436,2006
"deu","eudeu","Germany",16857945,34309259,-17451314,2006
"dnk","eudnk","Denmark",28951,285124,-256173,2006
"esp","euesp","Spain",745045,7803425,-7058380,2006
"est","euest","Estonia",8161271,3702648,4458623,2006
"fin","eufin","Finland",123120,597606,-474486,2006
"fra","eufra","France",67553438,51872417,15681021,2006
"gbr","eugbr","United Kingdom",28746313,11556620,17189693,2006
"hun","euhun","Hungary",3000,2610624,-2607624,2006
"irl","euirl","Ireland",1392530,628693,763837,2006
"ita","euita","Italy",5682632,12131800,-6449168,2006
"ltu","eultu","Lithuania",53484,131814,-78330,2006
"lux","eulux","Luxembourg",930,52979,-52049,2006
"nld","eunld","Netherlands",6443711,33700121,-27256410,2006
"nor","eunor","Norway",11578359,216858,11361501,2006
"pol","eupol","Poland",89237,2175567,-2086330,2006
"prt","euprt","Portugal",190,690747,-690557,2006
"rus","eurus","Russia",6484153,2274357,4209796,2006
"svn","eusvn","Slovenia",1367,120422,-119055,2006
"swe","euswe","Sweden",207111,1159172,-952061,2006
"ukr","euukr","Ukraine",28473,69431,-40958,2006
"brb","nabrb","Barbados",11946,3056,8890,2006
"can","nacan","Canada",384827,3553181,-3168354,2006
"gtm","nagtm","Guatemala",406,31777,-31371,2006
"mex","namex","Mexico",3486,3960105,-3956619,2006
"pan","napan","Panama",7,83882,-83875,2006
"tto","natto","Trinidad and Tobago",4198,8168,-3970,2006
"usa","nausa","United States",38903708,93445958,-54542250,2006
"aus","ocaus","Australia",82841,577818,-494977,2006
"nzl","ocnzl","New Zealand",1101,43039,-41938,2006
"arg","saarg","Argentina",421414,1033411,-611997,2006
"bra","sabra","Brazil",351520,4166685,-3815165,2006
"col","sacol","Colombia",485,135867,-135382,2006
"dza","afdza","Algeria",11518,13960,-2442,2007
"ken","afken","Kenya",947,14292,-13345,2007
"mar","afmar","Morocco",1467,265728,-264261,2007
"mli","afmli","Mali",1114,16014,-14900,2007
"nam","afnam","Namibia",7029,456,6573,2007
"zaf","afzaf","South Africa",289671,2700581,-2410910,2007
"zwe","afzwe","Zimbabwe",1644,9599,-7955,2007
"are","asare","United Arab Emirates",31508,472630,-441122,2007
"arm","asarm","Armenia",2211,498,1713,2007
"brn","asbrn","Brunei",62,8180,-8118,2007
"chn","aschn","China",524708160,88699827,436008333,2007
"geo","asgeo","Georgia",203,4935,-4732,2007
"hkg","ashkg","Hong Kong",4502521,32585504,-28082983,2007
"idn","asidn","Indonesia",121,657015,-656894,2007
"ind","asind","India",1102159,3895007,-2792848,2007
"isr","asisr","Israel",72030,1701698,-1629668,2007
"jpn","asjpn","Japan",240471672,327547787,-87076115,2007
"kaz","askaz","Kazakhstan",3334388,1651249,1683139,2007
"kor","askor","South Korea",3519594,52563872,-49044278,2007
"lka","aslka","Sri Lanka",11354,43904,-32550,2007
"mys","asmys","Malaysia",213036,3133388,-2920352,2007
"qat","asqat","Qatar",22843,14716,8127,2007
"sau","assau","Saudi Arabia",85174,1319602,-1234428,2007
"sgp","assgp","Singapore",1431451,3201041,-1769590,2007
"tha","astha","Thailand",125885,99454882,-99328997,2007
"tur","astur","Turkey",23455,2739530,-2716075,2007
"twn","astwn","Chinese Taipei",3259647,23655449,-20395802,2007
"vnm","asvnm","Vietnam",271953,1265119,-993166,2007
"aut","euaut","Austria",30207564,8271297,21936267,2007
"bel","eubel","Belgium",6699676,7172096,-472420,2007
"bgr","eubgr","Bulgaria",226,28746,-28520,2007
"che","euche","Switzerland",958853,2165135,-1206282,2007
"cze","eucze","Czechia",328234,4049633,-3721399,2007
"deu","eudeu","Germany",15432179,41079369,-25647190,2007
"dnk","eudnk","Denmark",346988,324847,22141,2007
"esp","euesp","Spain",1390765,12270717,-10879952,2007
"est","euest","Estonia",11174452,1735922,9438530,2007
"fin","eufin","Finland",2497,566307,-563810,2007
"fra","eufra","France",81690806,57046872,24643934,2007
"gbr","eugbr","United Kingdom",13450236,18310612,-4860376,2007
"grc","eugrc","Greece",742,38658,-37916,2007
"hrv","euhrv","Croatia",11868,27675,-15807,2007
"hun","euhun","Hungary",3744,3374828,-3371084,2007
"irl","euirl","Ireland",149907,496913,-347006,2007
"isl","euisl","Iceland",128000,1394,126606,2007
"ita","euita","Italy",13960637,17573494,-3612857,2007
"ltu","eultu","Lithuania",13860,49774,-35914,2007
"lva","eulva","Latvia",126900,2067934,-1941034,2007
"nld","eunld","Netherlands",6375316,43190831,-36815515,2007
"nor","eunor","Norway",6971386,182114,6789272,2007
"pol","eupol","Poland",4330455,2967378,1363077,2007
"prt","euprt","Portugal",13036,324561,-311525,2007
"rus","eurus","Russia",7467402,4540927,2926475,2007
"svn","eusvn","Slovenia",7684,132646,-124962,2007
"swe","euswe","Sweden",177847,1586808,-1408961,2007
"ukr","euukr","Ukraine",131097,132069,-972,2007
"brb","nabrb","Barbados",69715,1383,68332,2007
"can","nacan","Canada",342979,2920895,-2577916,2007
"gtm","nagtm","Guatemala",2534,8256,-5722,2007
"mex","namex","Mexico",35120,4554831,-4519711,2007
"pan","napan","Panama",14195,9849,4346,2007
"slv","naslv","El Salvador",5941,5425,516,2007
"usa","nausa","United States",29067742,119832853,-90765111,2007
"aus","ocaus","Australia",365581,273147,92434,2007
"arg","saarg","Argentina",494604,1254168,-759564,2007
"bra","sabra","Brazil",1444525,5146260,-3701735,2007
"col","sacol","Colombia",5092,161572,-156480,2007
"egy","afegy","Egypt",13741,1053758,-1040017,2008
"ken","afken","Kenya",46,1907,-1861,2008
"nam","afnam","Namibia",2729,4568,-1839,2008
"swz","afswz","Eswatini",10462,8980,1482,2008
"tza","aftza","Tanzania",4685,35833,-31148,2008
"zaf","afzaf","South Africa",554760,2628043,-2073283,2008
"are","asare","United Arab Emirates",29154,1315645,-1286491,2008
"arm","asarm","Armenia",1554,24339,-22785,2008
"chn","aschn","China",566095697,25581921,540513776,2008
"hkg","ashkg","Hong Kong",7958069,12618700,-4660631,2008
"idn","asidn","Indonesia",4,1304283,-1304279,2008
"ind","asind","India",711479,4707259,-3995780,2008
"isr","asisr","Israel",4643,1962868,-1958225,2008
"jpn","asjpn","Japan",154040506,361593407,-207552901,2008
"kaz","askaz","Kazakhstan",3691310,2246540,1444770,2008
"kor","askor","South Korea",4283909,64389488,-60105579,2008
"lka","aslka","Sri Lanka",794573,43887,750686,2008
"mys","asmys","Malaysia",228032,6065973,-5837941,2008
"sau","assau","Saudi Arabia",43188,1275147,-1231959,2008
"sgp","assgp","Singapore",2433605,3890271,-1456666,2008
"tha","astha","Thailand",201837,41353065,-41151228,2008
"tur","astur","Turkey",94251,1453886,-1359635,2008
"twn","astwn","Chinese Taipei",2577308,21759766,-19182458,2008
"vnm","asvnm","Vietnam",4149199,4674373,-525174,2008
"yem","asyem","Yemen",200,3330,-3130,2008
"aut","euaut","Austria",35183379,9820078,25363301,2008
"bel","eubel","Belgium",4780888,5880023,-1099135,2008
"bgr","eubgr","Bulgaria",37574,108965,-71391,2008
"che","euche","Switzerland",1004284,2465003,-1460719,2008
"cze","eucze","Czechia",203834,2865586,-2661752,2008
"deu","eudeu","Germany",21629677,64203707,-42574030,2008
"dnk","eudnk","Denmark",30602,417524,-386922,2008
"esp","euesp","Spain",1786314,10880581,-9094267,2008
"est","euest","Estonia",15655474,7101061,8554413,2008
"fin","eufin","Finland",141903,640673,-498770,2008
"fra","eufra","France",84641293,59134367,25506926,2008
"gbr","eugbr","United Kingdom",8926666,14556519,-5629853,2008
"grc","eugrc","Greece",235,59514,-59279,2008
"hun","euhun","Hungary",174095,3308413,-3134318,2008
"irl","euirl","Ireland",546420,8426951,-7880531,2008
"ita","euita","Italy",12269187,20633147,-8363960,2008
"ltu","eultu","Lithuania",105015,2156497,-2051482,2008
"lux","eulux","Luxembourg",16054,44229,-28175,2008
"lva","eulva","Latvia",400,7192103,-7191703,2008
"mkd","eumkd","North Macedonia",1944,4236,-2292,2008
"nld","eunld","Netherlands",10532970,27442832,-16909862,2008
"nor","eunor","Norway",10160688,875741,9284947,2008
"pol","eupol","Poland",4975019,6758805,-1783786,2008
"prt","euprt","Portugal",18599,336872,-318273,2008
"rus","eurus","Russia",21188374,4806310,16382064,2008
"srb","eusrb","Serbia",1162,60607,-59445,2008
"svk","eusvk","Slovakia",65,227177,-227112,2008
"svn","eusvn","Slovenia",7635,116249,-108614,2008
"swe","euswe","Sweden",388434,2200052,-1811618,2008
"ukr","euukr","Ukraine",247402,205392,42010,2008
"can","nacan","Canada",1619058,3586302,-1967244,2008
"gtm","nagtm","Guatemala",5372,15234,-9862,2008
"mex","namex","Mexico",89669,3676081,-3586412,2008
"nic","nanic","Nicaragua",20,281,-261,2008
"pan","napan","Panama",1675,5801,-4126,2008
"slv","naslv","El Salvador",4486,11431,-6945,2008
"usa","nausa","United States",22302346,163635221,-141332875,2008
"aus","ocaus","Australia",358407,186372,172035,2008
"nzl","ocnzl","New Zealand",1171,23106,-21935,2008
"arg","saarg","Argentina",578920,837421,-258501,2008
"bra","sabra","Brazil",1334136,8114239,-6780103,2008
"chl","sachl","Chile",122,135188,-135066,2008
"col","sacol","Colombia",2228,136641,-134413,2008
"bwa","afbwa","Botswana",103,3792,-3689,2009
"cod","afcod","Democratic Republic of the Congo",61,806,-745,2009
"egy","afegy","Egypt",90,1045541,-1045451,2009
"ken","afken","Kenya",203,8479,-8276,2009
"nam","afnam","Namibia",2328,15,2313,2009
"swz","afswz","Eswatini",9307,5411,3896,2009
"uga","afuga","Uganda",164,11685,-11521,2009
"zaf","afzaf","South Africa",780492,1280435,-499943,2009
"are","asare","United Arab Emirates",7701,375977,-368276,2009
"brn","asbrn","Brunei",45,252754,-252709,2009
"chn","aschn","China",267387703,38882732,228504971,2009
"hkg","ashkg","Hong Kong",3020238,18947942,-15927704,2009
"idn","asidn","Indonesia",116117,1073050,-956933,2009
"ind","asind","India",577460,7461483,-6884023,2009
"irn","asirn","Iran",1085,609489,-608404,2009
"jpn","asjpn","Japan",123236320,132083119,-8846799,2009
"kaz","askaz","Kazakhstan",2127181,699247,1427934,2009
"kgz","askgz","Kyrgyzstan",155589,3012,152577,2009
"kor","askor","South Korea",7341848,52888378,-45546530,2009
"kwt","askwt","Kuwait",41418,152,41266,2009
"lbn","aslbn","Lebanon",19158,69831,-50673,2009
"lka","aslka","Sri Lanka",449773,43338,406435,2009
"mys","asmys","Malaysia",471700,4900734,-4429034,2009
"sau","assau","Saudi Arabia",502,285710,-285208,2009
"sgp","assgp","Singapore",1073803,4651449,-3577646,2009
"tha","astha","Thailand",53256,23126389,-23073133,2009
"tur","astur","Turkey",30853,1027684,-996831,2009
"twn","astwn","Chinese Taipei",2220980,14921194,-12700214,2009
"vnm","asvnm","Vietnam",12435893,19261593,-6825700,2009
"yem","asyem","Yemen",201,10492,-10291,2009
"aut","euaut","Austria",33909667,6413403,27496264,2009
"bel","eubel","Belgium",2622602,4183448,-1560846,2009
"che","euche","Switzerland",791481,1780127,-988646,2009
"cze","eucze","Czechia",212943,2578617,-2365674,2009
"deu","eudeu","Germany",22121875,48546699,-26424824,2009
"dnk","eudnk","Denmark",104395,1182870,-1078475,2009
"esp","euesp","Spain",508421,5216530,-4708109,2009
"est","euest","Estonia",11321907,738151,10583756,2009
"fin","eufin","Finland",3379,800702,-797323,2009
"fra","eufra","France",38083463,36160321,1923142,2009
"gbr","eugbr","United Kingdom",8004053,8561514,-557461,2009
"grc","eugrc","Greece",379,31944,-31565,2009
"hrv","euhrv","Croatia",425,47547,-47122,2009
"hun","euhun","Hungary",2658,1913858,-1911200,2009
"irl","euirl","Ireland",166460,10747335,-10580875,2009
"ita","euita","Italy",15781744,11440703,4341041,2009
"ltu","eultu","Lithuania",80755,91494,-10739,2009
"lux","eulux","Luxembourg",153,3755,-3602,2009
"lva","eulva","Latvia",3839,3181153,-3177314,2009
"nld","eunld","Netherlands",9201855,8979516,222339,2009
"nor","eunor","Norway",13640994,1271952,12369042,2009
"pol","eupol","Poland",2333793,1344763,989030,2009
"prt","euprt","Portugal",24988,233193,-208205,2009
"rou","eurou","Romania",1,110138,-110137,2009
"rus","eurus","Russia",10239250,6109601,4129649,2009
"srb","eusrb","Serbia",74065,45438,28627,2009
"svk","eusvk","Slovakia",522,62666,-62144,2009
"svn","eusvn","Slovenia",22322,89158,-66836,2009
"swe","euswe","Sweden",197141,1673806,-1476665,2009
"ukr","euukr","Ukraine",188807,112336,76471,2009
"can","nacan","Canada",449013,2600726,-2151713,2009
"gtm","nagtm","Guatemala",9148,151000,-141852,2009
"mex","namex","Mexico",126121,2770075,-2643954,2009
"pan","napan","Panama",24167,9751,14416,2009
"slv","naslv","El Salvador",6752,7885,-1133,2009
"usa","nausa","United States",18400399,107494820,-89094421,2009
"aus","ocaus","Australia",185701,257446,-71745,2009
"nzl","ocnzl","New Zealand",4760,47258,-42498,2009
"arg","saarg","Argentina",847851,927821,-79970,2009
"bra","sabra","Brazil",795402,5214523,-4419121,2009
"col","sacol","Colombia",532,327355,-326823,2009
"dza","afdza","Algeria",3074,45273,-42199,2010
"egy","afegy","Egypt",2118,635036,-632918,2010
"ken","afken","Kenya",53,7044,-6991,2010
"mli","afmli","Mali",101,6005,-5904,2010
"nam","afnam","Namibia",17111,845,16266,2010
"tza","aftza","Tanzania",243,16724,-16481,2010
"zaf","afzaf","South Africa",1227380,3039298,-1811918,2010
"are","asare","United Arab Emirates",78989,469513,-390524,2010
"arm","asarm","Armenia",2759,1660,1099,2010
"brn","asbrn","Brunei",96,31535,-31439,2010
"btn","asbtn","Bhutan",1485,59,1426,2010
"chn","aschn","China",781445170,43231758,738213412,2010
"hkg","ashkg","Hong Kong",23608084,24454117,-846033,2010
"idn","asidn","Indonesia",208989,4694320,-4485331,2010
"ind","asind","India",1481784,11803382,-10321598,2010
"irn","asirn","Iran",661213,705852,-44638.9999999999,2010
"isr","asisr","Israel",25704,1154080,-1128376,2010
"jor","asjor","Jordan",36340,9610,26730,2010
"jpn","asjpn","Japan",159235044,453496539,-294261495,2010
"kaz","askaz","Kazakhstan",4943778,956073,3987705,2010
"kgz","askgz","Kyrgyzstan",430000,877,429123,2010
"kor","askor","South Korea",11240370,129396106,-118155736,2010
"lbn","aslbn","Lebanon",2296,35520,-33224,2010
"lka","aslka","Sri Lanka",250175,23384,226791,2010
"mys","asmys","Malaysia",1741864,7384115,-5642251,2010
"pak","aspak","Pakistan",2014,27678,-25664,2010
"sau","assau","Saudi Arabia",44190,555701,-511511,2010
"sgp","assgp","Singapore",2424435,23876525,-21452090,2010
"tha","astha","Thailand",1096010,27385626,-26289616,2010
"tur","astur","Turkey",159177,2469576,-2310399,2010
"twn","astwn","Chinese Taipei",3032431,30257218,-27224787,2010
"vnm","asvnm","Vietnam",4461825,25418603,-20956778,2010
"aut","euaut","Austria",40908919,11872760,29036159,2010
"bel","eubel","Belgium",6088054,7986908,-1898854,2010
"che","euche","Switzerland",976631,2917377,-1940746,2010
"cze","eucze","Czechia",260074,3898166,-3638092,2010
"deu","eudeu","Germany",32400466,71888702,-39488236,2010
"dnk","eudnk","Denmark",16974,582863,-565889,2010
"esp","euesp","Spain",2419959,11189687,-8769728,2010
"est","euest","Estonia",13474069,5532084,7941985,2010
"fin","eufin","Finland",319447,1258857,-939410,2010
"fra","eufra","France",60491591,68174337,-7682746,2010
"gbr","eugbr","United Kingdom",10734056,16209372,-5475316,2010
"grc","eugrc","Greece",2685,39911,-37226,2010
"hrv","euhrv","Croatia",362,17679,-17317,2010
"hun","euhun","Hungary",24830,2742489,-2717659,2010
"irl","euirl","Ireland",2407754,9464655,-7056901,2010
"ita","euita","Italy",15680163,42611227,-26931064,2010
"ltu","eultu","Lithuania",236204,187578,48626,2010
"lva","eulva","Latvia",182259,212949,-30690,2010
"nld","eunld","Netherlands",8932693,34104862,-25172169,2010
"nor","eunor","Norway",16969470,263404,16706066,2010
"pol","eupol","Poland",1142660,6991481,-5848821,2010
"prt","euprt","Portugal",84939,680228,-595289,2010
"rus","eurus","Russia",19061753,4980437,14081316,2010
"srb","eusrb","Serbia",74,61111,-61037,2010
"svk","eusvk","Slovakia",4427,94598,-90171,2010
"svn","eusvn","Slovenia",22899,151934,-129035,2010
"swe","euswe","Sweden",109371,1728946,-1619575,2010
"ukr","euukr","Ukraine",169793,332735,-162942,2010
"can","nacan","Canada",11169533,20820591,-9651058,2010
"cri","nacri","Costa Rica",9000,51985,-42985,2010
"gtm","nagtm","Guatemala",8618,10767,-2149,2010
"jam","najam","Jamaica",2214,332312,-330098,2010
"mex","namex","Mexico",75530,5974917,-5899387,2010
"pan","napan","Panama",2781,13944,-11163,2010
"slv","naslv","El Salvador",13886,40276,-26390,2010
"usa","nausa","United States",55660121,154383488,-98723367,2010
"aus","ocaus","Australia",268040,554802,-286762,2010
"fji","ocfji","Fiji",2047,3768,-1721,2010
"nzl","ocnzl","New Zealand",4963,24045,-19082,2010
"arg","saarg","Argentina",1146744,975515,171229,2010
"bra","sabra","Brazil",370749,6100118,-5729369,2010
"chl","sachl","Chile",2775,124513,-121738,2010
"bwa","afbwa","Botswana",20,702,-682,2011
"civ","afciv","Cote d'Ivoire",11458,179,11279,2011
"dza","afdza","Algeria",1526,29106,-27580,2011
"egy","afegy","Egypt",748,1424019,-1423271,2011
"ken","afken","Kenya",25,12179,-12154,2011
"nam","afnam","Namibia",84,25769,-25685,2011
"zaf","afzaf","South Africa",6799332,15366069,-8566737,2011
"are","asare","United Arab Emirates",897332,816351,80981,2011
"arm","asarm","Armenia",1678,1939,-261,2011
"btn","asbtn","Bhutan",272,458,-186,2011
"chn","aschn","China",2217682751,67975038,2149707713,2011
"cyp","ascyp","Cyprus",82940,6149,76791,2011
"hkg","ashkg","Hong Kong",26027975,78468415,-52440440,2011
"idn","asidn","Indonesia",7010178,4582470,2427708,2011
"ind","asind","India",6525158,23829305,-17304147,2011
"irn","asirn","Iran",721526,3146233,-2424707,2011
"isr","asisr","Israel",5754,2040867,-2035113,2011
"jor","asjor","Jordan",150253,18958,131295,2011
"jpn","asjpn","Japan",273469788,1325212080,-1051742292,2011
"kaz","askaz","Kazakhstan",16539662,6980959,9558703,2011
"kgz","askgz","Kyrgyzstan",764457,136,764321,2011
"kor","askor","South Korea",34171566,163319995,-129148429,2011
"lao","aslao","Laos",4020011,4736276,-716265.000000001,2011
"lbn","aslbn","Lebanon",1400,8134,-6734,2011
"lka","aslka","Sri Lanka",698495,42836,655659,2011
"mys","asmys","Malaysia",10253398,36167163,-25913765,2011
"omn","asomn","Oman",63108,91773,-28665,2011
"pak","aspak","Pakistan",164348,34528,129820,2011
"sau","assau","Saudi Arabia",42074,997576,-955502,2011
"sgp","assgp","Singapore",6237458,40229998,-33992540,2011
"tha","astha","Thailand",1621735,54739049,-53117314,2011
"tur","astur","Turkey",437252,6297063,-5859811,2011
"twn","astwn","Chinese Taipei",15356525,57503185,-42146660,2011
"vnm","asvnm","Vietnam",74201799,91282152,-17080353,2011
"alb","eualb","Albania",3405,2754,651,2011
"aut","euaut","Austria",89825186,58552777,31272409,2011
"bel","eubel","Belgium",9691682,22673526,-12981844,2011
"bgr","eubgr","Bulgaria",23525,390266,-366741,2011
"bih","eubih","Bosnia and Herzegovina",423654,1370,422284,2011
"blr","eublr","Belarus",27300,1623607,-1596307,2011
"che","euche","Switzerland",2463564,8600486,-6136922,2011
"cze","eucze","Czechia",366938,12621548,-12254610,2011
"deu","eudeu","Germany",74356053,237971149,-163615096,2011
"dnk","eudnk","Denmark",88780,1002634,-913854,2011
"esp","euesp","Spain",4350346,19021491,-14671145,2011
"est","euest","Estonia",92686244,71053336,21632908,2011
"fin","eufin","Finland",2883441,2995452,-112011,2011
"fra","eufra","France",163952074,229206283,-65254209,2011
"gbr","eugbr","United Kingdom",22048614,40673781,-18625167,2011
"grc","eugrc","Greece",4907,360359,-355452,2011
