"iso 3","country id","country","trade value export","trade value import","trade value delta","year"
"cze","eucze","Czechia",20545,2000496,-1979951,1997
"deu","eudeu","Germany",3306909,44810143,-41503234,1997
"dnk","eudnk","Denmark",29725,98794,-69069,1997
"esp","euesp","Spain",912358,3505330,-2592972,1997
"est","euest","Estonia",5099156,5642453,-543297,1997
"fin","eufin","Finland",5128,569609,-564481,1997
"fra","eufra","France",85955411,24536254,61419157,1997
"gbr","eugbr","United Kingdom",14007278,20378974,-6371696,1997
"hun","euhun","Hungary",65342,3498438,-3433096,1997
"irl","euirl","Ireland",98328,238266,-139938,1997
"ita","euita","Italy",447969,7245110,-6797141,1997
"ltu","eultu","Lithuania",63800,367803,-304003,1997
"nld","eunld","Netherlands",807948,18805100,-17997152,1997
"nor","eunor","Norway",12990430,326693,12663737,1997
"pol","eupol","Poland",50687,546174,-495487,1997
"prt","euprt","Portugal",1616,350089,-348473,1997
"rus","eurus","Russia",6260455,1915930,4344525,1997
"svk","eusvk","Slovakia",7502,225831,-218329,1997
"swe","euswe","Sweden",12299,331200,-318901,1997
"ukr","euukr","Ukraine",158810,161782,-2972,1997
"can","nacan","Canada",2667342,8024117,-5356775,1997
"gtm","nagtm","Guatemala",24795,13656,11139,1997
"jam","najam","Jamaica",844,54162,-53318,1997
"mex","namex","Mexico",22667,1245040,-1222373,1997
"usa","nausa","United States",55901005,97105976,-41204971,1997
"aus","ocaus","Australia",218632,1245220,-1026588,1997
"arg","saarg","Argentina",12480,326943,-314463,1997
"bra","sabra","Brazil",2447,4375958,-4373511,1997
"zaf","afzaf","South Africa",83633,9526511,-9442878,1998
"are","asare","United Arab Emirates",16006,8551,7455,1998
"chn","aschn","China",227562533,4538802,223023731,1998
"hkg","ashkg","Hong Kong",7861370,7620634,240736,1998
"idn","asidn","Indonesia",1169,977707,-976538,1998
"ind","asind","India",879055,1382056,-503001,1998
"isr","asisr","Israel",24800,66681,-41881,1998
"jpn","asjpn","Japan",28909551,112977685,-84068134,1998
"kaz","askaz","Kazakhstan",936871,1032546,-95675,1998
"kgz","askgz","Kyrgyzstan",703827,60617,643210,1998
"kor","askor","South Korea",870405,22910977,-22040572,1998
"mys","asmys","Malaysia",269963,5140138,-4870175,1998
"phl","asphl","Philippines",68360,873580,-805220,1998
"prk","asprk","North Korea",15595,51894,-36299,1998
"sau","assau","Saudi Arabia",9072,30477,-21405,1998
"sgp","assgp","Singapore",1470016,6368278,-4898262,1998
