"ISO 3","Country ID","Country","Trade Value Export","Trade Value Import","Trade Value Delta"
"zaf","afzaf","South Africa",83633,9526511,-9442878
"are","asare","United Arab Emirates",16005.999999999998,8551,7454.999999999998
"chn","aschn","China",227562533,4538802,223023731
"hkg","ashkg","Hong Kong",7861370,7620634,240736
"idn","asidn","Indonesia",1169,977707,-976538
"ind","asind","India",879055,1382056,-503001
"isr","asisr","Israel",24800,66681,-41881
"jpn","asjpn","Japan",28909551,112977685,-84068134
"kaz","askaz","Kazakhstan",936871,1032546,-95675
"kgz","askgz","Kyrgyzstan",703827,60617,643210
"kor","askor","South Korea",870405,22910977,-22040572
"mys","asmys","Malaysia",269963,5140138,-4870175
"phl","asphl","Philippines",68360,873580,-805220
"prk","asprk","North Korea",15595,51894,-36299
"sau","assau","Saudi Arabia",9072.000000000002,30477.000000000004,-21405
"sgp","assgp","Singapore",1470016,6368278,-4898262
"tha","astha","Thailand",185600,2065180,-1879580
"tur","astur","Turkey",15507,1013173.0000000001,-997666.0000000001
"twn","astwn","Chinese Taipei",3006964,12868588,-9861624
"aut","euaut","Austria",11608158,6273517,5334641
"blr","eublr","Belarus",5277,122447,-117170
"blx","eublx","Belgium-Luxembourg",2991953,9042842,-6050889
"che","euche","Switzerland",286372,3092186,-2805814
"cze","eucze","Czechia",57319,1251280,-1193961
"deu","eudeu","Germany",4573868,45032505,-40458637
"dnk","eudnk","Denmark",29021.999999999996,71561,-42539
"esp","euesp","Spain",227077,3336401,-3109324
"est","euest","Estonia",4946600,4220941,725659
"fra","eufra","France",85078456,35875110,49203346
"gbr","eugbr","United Kingdom",14185120,23527019,-9341899
"hun","euhun","Hungary",389801,4009771,-3619970
"irl","euirl","Ireland",534483,508522,25961
"ita","euita","Italy",428642,6539168,-6110526
"ltu","eultu","Lithuania",30622,280917,-250295
"lva","eulva","Latvia",22568,4301,18267
"nld","eunld","Netherlands",960415,19612343,-18651928
"nor","eunor","Norway",18506545,902352,17604193
"pol","eupol","Poland",30876,861422,-830546
"rus","eurus","Russia",5737891,1271953,4465938
"svk","eusvk","Slovakia",31699,333233,-301534
"svn","eusvn","Slovenia",1137,76633,-75496
"swe","euswe","Sweden",8422,469205,-460783
"ukr","euukr","Ukraine",19163,59014,-39851
"yug","euyug","Yugoslavia",8263,20741,-12478
"can","nacan","Canada",1120922,6771817,-5650895
"gtm","nagtm","Guatemala",41108,19192,21916
"mex","namex","Mexico",91781.00000000001,2193097,-2101316
"usa","nausa","United States",51984978,102009169,-50024191
"aus","ocaus","Australia",230267,1243710,-1013443
"nzl","ocnzl","New Zealand",643,157591,-156948
"arg","saarg","Argentina",1699,1126253,-1124554
"chl","sachl","Chile",75707,69151,6556
"per","saper","Peru",645,31229,-30584
"ven","saven","Venezuela",2989,53270,-50281
