"ISO 3","Country ID","Country","Trade Value Export","Trade Value Import","Trade Value Delta"
"egy","afegy","Egypt",353972,1365209,-1011237
"zaf","afzaf","South Africa",51655,2924826,-2873171
"are","asare","United Arab Emirates",3832,15624,-11792
"chn","aschn","China",213809718,2266145,211543573
"cyp","ascyp","Cyprus",3171.0000000000005,9093,-5922
"hkg","ashkg","Hong Kong",2852254,5075703,-2223449
"ind","asind","India",3232657,1137840,2094817
"jpn","asjpn","Japan",34779815,126412963,-91633148
"kaz","askaz","Kazakhstan",1544268,921026.9999999999,623241.0000000001
"kgz","askgz","Kyrgyzstan",1063690,44740,1018950
"kor","askor","South Korea",40880,26681046,-26640166
"mys","asmys","Malaysia",129145,6392429,-6263284
"prk","asprk","North Korea",111684,78500,33184
"sau","assau","Saudi Arabia",22689,532442,-509753
"sgp","assgp","Singapore",1181375,4903434,-3722059
"tha","astha","Thailand",10860.999999999998,1744092,-1733231
"tur","astur","Turkey",19006,1173127,-1154121
"twn","astwn","Chinese Taipei",5937702,11934009,-5996307
"aut","euaut","Austria",8953940,5271881,3682059
"blr","eublr","Belarus",100600,31304,69296
"blx","eublx","Belgium-Luxembourg",1817518,5130575,-3313057
"che","euche","Switzerland",410923,1478329,-1067406
"cze","eucze","Czechia",27783,1928923,-1901140
"deu","eudeu","Germany",4800272,45640694,-40840422
"dnk","eudnk","Denmark",21580,79020,-57440
"esp","euesp","Spain",355316,3162288,-2806972
"est","euest","Estonia",13326036,6987872.000000001,6338163.999999999
"fin","eufin","Finland",956038.9999999999,861535,94503.99999999988
"fra","eufra","France",80025672,43779259,36246413
"gbr","eugbr","United Kingdom",20258703,13813843,6444860
"hrv","euhrv","Croatia",792,47946,-47154
"hun","euhun","Hungary",20346,3426201,-3405855
"irl","euirl","Ireland",2054004,601223,1452781
"ita","euita","Italy",649152,5189436,-4540284
"ltu","eultu","Lithuania",133602,460003,-326401
"nld","eunld","Netherlands",521884,18459969,-17938085
"nor","eunor","Norway",6404105,506039,5898066
"pol","eupol","Poland",91425,812822,-721397
"prt","euprt","Portugal",6695,425662,-418967
"rus","eurus","Russia",11093474,1002017,10091457
"swe","euswe","Sweden",71899,481977,-410078
"ukr","euukr","Ukraine",486972,79989,406983
"can","nacan","Canada",1139727,7042161,-5902434
"mex","namex","Mexico",1431,979703,-978272
"usa","nausa","United States",58710245,106308677,-47598432
"aus","ocaus","Australia",26382,1542787,-1516405
"arg","saarg","Argentina",2878.9999999999995,295206,-292327
"bra","sabra","Brazil",87966,4430836,-4342870
