"ISO 3","Country ID","Country","Trade Value Export","Trade Value Import","Trade Value Delta"
"civ","afciv","Cote d'Ivoire",81.99999999999999,476.00000000000006,-394.00000000000006
"ken","afken","Kenya",629,14626.999999999998,-13997.999999999998
"swz","afswz","Eswatini",326,885,-559
"tun","aftun","Tunisia",77110,66944,10166
"zaf","afzaf","South Africa",435658,8298757,-7863099
"are","asare","United Arab Emirates",253283,17234,236049
"chn","aschn","China",210167488,3988114,206179374
"cyp","ascyp","Cyprus",53897,4362.000000000001,49535
"hkg","ashkg","Hong Kong",2128913,3074133,-945220
"idn","asidn","Indonesia",32027,914103,-882076
"ind","asind","India",2731260,913713,1817547
"isr","asisr","Israel",75,210102,-210027
"jpn","asjpn","Japan",49209778,118797152,-69587374
"kaz","askaz","Kazakhstan",396578,189089.00000000003,207488.99999999997
"kor","askor","South Korea",802326,33449884.000000004,-32647558.000000004
"lbn","aslbn","Lebanon",9947.000000000002,9817,130.00000000000182
"mys","asmys","Malaysia",321087,6310960,-5989873
"sau","assau","Saudi Arabia",38892,219181.00000000003,-180289.00000000003
"sgp","assgp","Singapore",16435392,15020985,1414407
"tha","astha","Thailand",29618,18979564,-18949946
"tur","astur","Turkey",23397,732613,-709216
"twn","astwn","Chinese Taipei",3412160,18637972,-15225812
"aut","euaut","Austria",16971917,11493633,5478284
"bel","eubel","Belgium",4357270,8680859,-4323589
"blr","eublr","Belarus",7800,280909,-273109
"che","euche","Switzerland",329518,1408878,-1079360
"cze","eucze","Czechia",113359,1317028,-1203669
"deu","eudeu","Germany",5015487,27080808,-22065321
"dnk","eudnk","Denmark",30812,81245,-50433
"esp","euesp","Spain",675237,2620949,-1945712
"est","euest","Estonia",6636088,1028748.9999999999,5607339
"fin","eufin","Finland",35,2997369,-2997334
"fra","eufra","France",68132848,26241197,41891651
"gbr","eugbr","United Kingdom",17040193,15320083,1720110
"grc","eugrc","Greece",6000,99158,-93158
"hun","euhun","Hungary",10132,2494084,-2483952
"irl","euirl","Ireland",965576,1027195,-61619
"ita","euita","Italy",444217,9432482,-8988265
"lva","eulva","Latvia",2942,22958990,-22956048
"nld","eunld","Netherlands",833644,21054427,-20220783
"nor","eunor","Norway",24241017,283396,23957621
"rus","eurus","Russia",25496997,1564123,23932874
"svn","eusvn","Slovenia",391,70962,-70571
"swe","euswe","Sweden",35897,475040,-439143
"ukr","euukr","Ukraine",12652,47761,-35109
"bhs","nabhs","Bahamas",54.00000000000001,8808,-8754
"can","nacan","Canada",561357,6347160,-5785803
"gtm","nagtm","Guatemala",71,10771,-10700
"mex","namex","Mexico",87572,1768039,-1680467
"tto","natto","Trinidad and Tobago",152,9760.999999999998,-9608.999999999998
"usa","nausa","United States",46165721,97876427,-51710706
"vgb","navgb","British Virgin Islands",2328.0000000000005,15439,-13111
"aus","ocaus","Australia",216352,364643,-148291
"nzl","ocnzl","New Zealand",9416,90383,-80967
"arg","saarg","Argentina",412153,1155125,-742972
"bra","sabra","Brazil",573,6471229,-6470656
"col","sacol","Colombia",615,98829,-98214
"guy","saguy","Guyana",34000,5748,28252
