"ISO 3","Country ID","Country","Trade Value Export","Trade Value Import","Trade Value Delta"
"ken","afken","Kenya",17870,4078.0000000000005,13792
"nam","afnam","Namibia",16,6522,-6506
"tun","aftun","Tunisia",9.000000000000002,27054,-27045
"zaf","afzaf","South Africa",570793,4035901,-3465108
"zwe","afzwe","Zimbabwe",50130,13451,36679
"are","asare","United Arab Emirates",83427,97916,-14489
"bgd","asbgd","Bangladesh",7517,82218,-74701
"brn","asbrn","Brunei",72,8804,-8732
"chn","aschn","China",215346433,19915600,195430833
"hkg","ashkg","Hong Kong",848330,4789269,-3940939
"idn","asidn","Indonesia",68949,1113199,-1044250
"ind","asind","India",814816.9999999999,3693577,-2878760
"isr","asisr","Israel",881655,1255277,-373622
"jpn","asjpn","Japan",73763029,129115608,-55352579
"kaz","askaz","Kazakhstan",1647250,272299,1374951
"kor","askor","South Korea",7632477,42779766,-35147289
"lbn","aslbn","Lebanon",221,44223,-44002
"mys","asmys","Malaysia",124222.00000000001,5526855,-5402633
"phl","asphl","Philippines",36051,2739403,-2703352
"sau","assau","Saudi Arabia",82029,74673,7356
"sgp","assgp","Singapore",1532783,3346960,-1814177
"tha","astha","Thailand",334317,5720208,-5385891
"tur","astur","Turkey",4981,1112580,-1107599
"twn","astwn","Chinese Taipei",1742750,22087208,-20344458
"aut","euaut","Austria",22514861,5538298,16976563
"bel","eubel","Belgium",2912734,4119879,-1207145
"bih","eubih","Bosnia and Herzegovina",249815.99999999997,2631,247184.99999999997
"blr","eublr","Belarus",2000,310918,-308918
"che","euche","Switzerland",644585,1532587,-888002
"cze","eucze","Czechia",98640,2189590,-2090950
"deu","eudeu","Germany",8882224,30132142,-21249918
"dnk","eudnk","Denmark",62997,147619,-84622
"esp","euesp","Spain",198616,5267536,-5068920
"est","euest","Estonia",2338536,1964539,373997
"fin","eufin","Finland",58969,431210,-372241
"fra","eufra","France",72371771,31230699,41141072
"gbr","eugbr","United Kingdom",15407384,29981789,-14574405
"hun","euhun","Hungary",3962,3371361,-3367399
"irl","euirl","Ireland",1445900,2980833,-1534933
"ita","euita","Italy",3397398,9375262,-5977864
"ltu","eultu","Lithuania",4549,374339,-369790
"lva","eulva","Latvia",753,3921,-3168
"nld","eunld","Netherlands",4947772,14987783,-10040011
"nor","eunor","Norway",13804193,162394,13641799
"pol","eupol","Poland",2647,1432894,-1430247
"rus","eurus","Russia",16828532,1853061,14975471
"svk","eusvk","Slovakia",689,159879,-159190
"svn","eusvn","Slovenia",4877,121302,-116425
"swe","euswe","Sweden",76698,1430477,-1353779
"ukr","euukr","Ukraine",87088,88578,-1490
"can","nacan","Canada",360896,11532125,-11171229
"cri","nacri","Costa Rica",64,12096,-12032
"gtm","nagtm","Guatemala",397,3876.0000000000005,-3479.0000000000005
"jam","najam","Jamaica",27000.999999999996,673333,-646332
"mex","namex","Mexico",69654,3919611,-3849957
"usa","nausa","United States",36057361,85714379,-49657018
"aus","ocaus","Australia",104296,249289,-144993
"nzl","ocnzl","New Zealand",989.9999999999999,26330,-25340
"arg","saarg","Argentina",348012,443718,-95706
"bra","sabra","Brazil",3607.9999999999995,3118629,-3115021
"chl","sachl","Chile",475,191824,-191349
