"ISO 3","Country ID","Country","Trade Value Export","Trade Value Import","Trade Value Delta"
"ken","afken","Kenya",3447,3351,96
"nga","afnga","Nigeria",10059,989617.9999999999,-979558.9999999999
"uga","afuga","Uganda",75000,22297,52703
"zaf","afzaf","South Africa",193490,6024947,-5831457
"zmb","afzmb","Zambia",44.00000000000001,7821,-7777
"are","asare","United Arab Emirates",11028.000000000002,64639,-53611
"chn","aschn","China",178448010,5555939,172892071
"cyp","ascyp","Cyprus",13164,6234,6930
"hkg","ashkg","Hong Kong",785696,4132604,-3346908
"idn","asidn","Indonesia",23853,1031403,-1007550
"ind","asind","India",2739987.9999999995,1936245,803742.9999999995
"isr","asisr","Israel",807025,336342,470683
"jpn","asjpn","Japan",47960607,87364736,-39404129
"kaz","askaz","Kazakhstan",825670,657310.0000000001,168359.99999999988
"kor","askor","South Korea",2261612,37418313,-35156701
"lbn","aslbn","Lebanon",26658,7373,19285
"lka","aslka","Sri Lanka",63,14949,-14886
"mys","asmys","Malaysia",160210,5072832,-4912622
"phl","asphl","Philippines",23859,173444,-149585
"sau","assau","Saudi Arabia",165681,137528,28153
"sgp","assgp","Singapore",15427451,12770793,2656658
"tha","astha","Thailand",66813.99999999999,17925541,-17858727
"tur","astur","Turkey",3336,929566,-926230
"twn","astwn","Chinese Taipei",1410278,18554172,-17143894
"aut","euaut","Austria",23599543,10385412,13214131
"bel","eubel","Belgium",4246008,4568768,-322760
"bgr","eubgr","Bulgaria",2776.9999999999995,21803,-19026
"che","euche","Switzerland",886287,846235.9999999999,40051.00000000012
"cze","eucze","Czechia",48197,2640906,-2592709
"deu","eudeu","Germany",5341922,28554589,-23212667
"dnk","eudnk","Denmark",23361,160348,-136987
"esp","euesp","Spain",299092,3541196,-3242104
"est","euest","Estonia",7682908,611282,7071626
"fin","eufin","Finland",21615,2847208,-2825593
"fra","eufra","France",53794995,21266746,32528249
"gbr","eugbr","United Kingdom",19304922,18560325,744597
"hun","euhun","Hungary",903,3954375,-3953472
"irl","euirl","Ireland",1267051,980512,286539
"ita","euita","Italy",937343,7270303,-6332960
"ltu","eultu","Lithuania",71913.99999999999,514040,-442126
"nld","eunld","Netherlands",680526,12975284,-12294758
"nor","eunor","Norway",10307537,131732,10175805
"pol","eupol","Poland",16480,423351,-406871
"prt","euprt","Portugal",560,188722,-188162
"rus","eurus","Russia",12430287,1941165,10489122
"svk","eusvk","Slovakia",1173,173335,-172162
"svn","eusvn","Slovenia",494,83591,-83097
"swe","euswe","Sweden",16311,1168423,-1152112
"ukr","euukr","Ukraine",98968,51858,47110
"brb","nabrb","Barbados",498,174,324
"can","nacan","Canada",189939,11398293,-11208354
"cub","nacub","Cuba",5265,27601,-22336
"mex","namex","Mexico",33614,3365416,-3331802
"nic","nanic","Nicaragua",1558,146017,-144459
"usa","nausa","United States",36498912,81691741,-45192829
"aus","ocaus","Australia",249019,280495,-31476
"nzl","ocnzl","New Zealand",311,13829,-13518
"arg","saarg","Argentina",311419,269571,41848
"bra","sabra","Brazil",61947,5415425,-5353478
"chl","sachl","Chile",5996.000000000001,290681,-284685
